CustomerID,LastPurchase,Frequency,Monetary,Recency,Cluster,Segment
12346,2011-01-18 10:01:00,1,77183.6,326,3,Loyal
12347,2011-12-07 15:52:00,7,4310.0,3,2,Champions
12348,2011-09-25 13:13:00,4,1797.24,76,3,Loyal
12349,2011-11-21 09:51:00,1,1757.55,19,0,Developing
12350,2011-02-02 16:01:00,1,334.4,311,1,At Risk
12352,2011-11-03 14:37:00,8,2506.04,37,3,Loyal
12353,2011-05-19 17:47:00,1,89.0,205,1,At Risk
12354,2011-04-21 13:11:00,1,1079.4,233,1,At Risk
12355,2011-05-09 13:49:00,1,459.4,215,1,At Risk
12356,2011-11-17 08:40:00,3,2811.43,23,3,Loyal
12357,2011-11-06 16:07:00,1,6207.67,34,3,Loyal
12358,2011-12-08 10:26:00,2,1168.06,2,0,Developing
12359,2011-10-13 12:47:00,4,6372.58,58,3,Loyal
12360,2011-10-18 15:22:00,3,2662.06,53,3,Loyal
12361,2011-02-25 13:51:00,1,189.9,288,1,At Risk
12362,2011-12-06 15:40:00,10,5226.23,4,2,Champions
12363,2011-08-22 10:18:00,2,552.0,110,1,At Risk
12364,2011-12-02 10:22:00,4,1313.1,8,0,Developing
12365,2011-02-21 14:04:00,2,641.38,292,1,At Risk
12367,2011-12-05 16:48:00,1,168.9,5,0,Developing
12370,2011-10-19 14:51:00,4,3545.69,52,3,Loyal
12371,2011-10-26 10:16:00,2,1887.96,45,3,Loyal
12372,2011-09-29 12:12:00,3,1298.04,72,3,Loyal
12373,2011-02-01 13:10:00,1,364.6,312,1,At Risk
12374,2011-11-14 15:37:00,1,742.9300000000001,26,0,Developing
12375,2011-11-29 10:36:00,2,457.5,11,0,Developing
12377,2011-01-28 15:45:00,2,1628.12,316,3,Loyal
12378,2011-08-02 10:34:00,1,4008.62,130,3,Loyal
12379,2011-09-19 10:09:00,2,852.24,82,3,Loyal
12380,2011-11-18 11:27:00,4,2724.81,22,3,Loyal
12381,2011-12-05 12:44:00,5,1845.31,5,2,Champions
12383,2011-06-08 08:02:00,5,1850.56,185,3,Loyal
12384,2011-11-11 08:39:00,2,585.27,29,0,Developing
12386,2011-01-06 12:37:00,2,401.9,338,1,At Risk
12388,2011-11-24 12:30:00,6,2780.66,16,2,Champions
12390,2011-09-21 09:33:00,1,549.84,80,1,At Risk
12391,2011-11-18 12:07:00,1,460.89,22,0,Developing
12393,2011-09-28 15:41:00,4,1582.6000000000001,73,3,Loyal
12394,2011-10-07 08:08:00,2,1272.48,64,3,Loyal
12395,2011-11-20 15:21:00,12,3018.63,20,2,Champions
12397,2011-11-04 09:52:00,2,2409.9,36,3,Loyal
12398,2011-10-25 10:27:00,1,1635.6599999999999,46,3,Loyal
12399,2011-08-12 13:15:00,4,1108.65,120,3,Loyal
12401,2011-02-09 13:50:00,1,84.3,304,1,At Risk
12402,2011-01-20 13:49:00,1,225.6,324,1,At Risk
12403,2011-10-21 10:51:00,1,427.7,50,1,At Risk
12405,2011-07-14 08:52:00,1,1710.39,149,1,At Risk
12406,2011-11-17 19:22:00,2,3415.3,23,3,Loyal
12407,2011-10-21 10:11:00,5,1708.1200000000001,50,3,Loyal
12408,2011-11-07 12:27:00,5,2888.55,33,3,Loyal
12409,2011-09-22 10:38:00,3,11072.67,79,3,Loyal
12410,2011-02-04 10:39:00,2,693.3299999999999,309,1,At Risk
12412,2011-09-26 10:16:00,3,1226.88,75,3,Loyal
12413,2011-10-04 09:00:00,3,758.1,67,3,Loyal
12414,2011-05-06 14:51:00,3,562.41,218,1,At Risk
12415,2011-11-15 14:22:00,21,124914.53,25,2,Champions
12417,2011-12-06 14:52:00,9,3649.1,4,2,Champions
12418,2011-08-19 11:08:00,1,668.58,113,1,At Risk
12420,2011-10-07 08:55:00,1,600.39,64,1,At Risk
12421,2011-11-24 09:07:00,4,807.04,16,0,Developing
12422,2011-09-05 09:48:00,3,803.5600000000001,96,3,Loyal
12423,2011-12-09 10:10:00,8,1859.31,1,2,Champions
12424,2011-06-30 12:06:00,2,1760.96,163,3,Loyal
12425,2011-09-22 17:31:00,1,777.2,79,1,At Risk
12426,2011-05-29 12:26:00,1,582.73,195,1,At Risk
12427,2011-11-18 08:56:00,3,825.8,22,0,Developing
12428,2011-11-14 08:22:00,9,7956.46,26,2,Champions
12429,2011-11-30 17:22:00,4,3750.4,10,2,Champions
12430,2011-10-27 15:09:00,1,256.4,44,1,At Risk
12431,2011-11-04 11:55:00,15,6487.45,36,2,Champions
12432,2011-10-28 11:43:00,5,5059.32,43,3,Loyal
12433,2011-12-09 10:02:00,7,13375.87,1,2,Champions
12434,2011-09-16 12:38:00,2,806.14,85,3,Loyal
12435,2011-09-21 09:06:00,2,7829.89,80,3,Loyal
12436,2011-09-01 12:09:00,1,509.01,100,1,At Risk
12437,2011-12-08 11:35:00,18,4951.41,2,2,Champions
12438,2011-11-25 13:28:00,2,2906.85,15,3,Loyal
12441,2010-12-08 10:45:00,1,173.55,367,1,At Risk
12442,2011-12-06 14:22:00,1,172.06,4,0,Developing
12444,2011-11-18 13:23:00,5,5005.46,22,2,Champions
12445,2011-11-17 18:43:00,1,133.4,23,0,Developing
12446,2011-10-13 12:50:00,1,1002.3100000000001,58,0,Developing
12447,2011-04-10 13:25:00,1,476.49,244,1,At Risk
12448,2011-10-26 13:46:00,1,449.45,45,0,Developing
12449,2011-11-17 13:46:00,4,4067.29,23,3,Loyal
12450,2011-07-06 14:41:00,2,197.88,157,1,At Risk
12451,2011-11-29 08:40:00,5,9035.52,11,2,Champions
12452,2011-11-23 10:28:00,2,430.57,17,0,Developing
12453,2011-07-28 14:08:00,1,707.09,135,1,At Risk
12454,2011-10-14 17:13:00,1,3528.34,57,3,Loyal
12455,2011-09-27 15:31:00,6,2466.86,74,3,Loyal
12456,2011-10-26 14:41:00,3,3181.04,45,3,Loyal
12457,2011-10-04 13:13:00,7,2363.23,67,3,Loyal
12458,2011-09-29 15:25:00,2,947.4,72,3,Loyal
12461,2011-09-06 16:57:00,2,826.88,95,3,Loyal
12462,2011-11-21 09:11:00,2,1189.59,19,0,Developing
12463,2011-10-17 13:44:00,4,1344.78,54,3,Loyal
12464,2011-11-29 13:33:00,8,1212.05,11,2,Champions
12465,2011-11-22 16:34:00,2,742.1899999999999,18,0,Developing
12468,2011-06-05 11:36:00,2,729.5400000000001,188,1,At Risk
12471,2011-12-07 15:43:00,30,19824.05,3,2,Champions
12472,2011-11-07 14:01:00,7,6572.11,33,2,Champions
12473,2011-11-10 13:46:00,5,3938.5499999999997,30,3,Loyal
12474,2011-11-22 14:39:00,18,7375.79,18,2,Champions
12475,2011-10-17 10:10:00,1,723.38,54,0,Developing
12476,2011-11-24 12:40:00,11,6816.42,16,2,Champions
12477,2011-11-17 09:51:00,6,13219.74,23,2,Champions
12478,2011-12-06 09:56:00,1,680.99,4,0,Developing
12479,2011-11-28 13:26:00,1,527.2,12,0,Developing
12480,2011-11-11 14:52:00,4,3281.63,29,3,Loyal
12481,2011-11-17 08:29:00,10,5596.32,23,2,Champions
12483,2011-11-22 17:02:00,8,2484.98,18,2,Champions
