Model,Bin,Mean_Predicted_Probability,Observed_Subscription_Rate
Selected raw model,1,0.23177413004418507,0.03762135922330097
Selected raw model,2,0.28677717511077977,0.05461165048543689
Selected raw model,3,0.3401229886386477,0.06318347509113001
Selected raw model,4,0.37445186278408127,0.06909090909090909
Selected raw model,5,0.40120404118216485,0.08759124087591241
Selected raw model,6,0.4228382220545614,0.08859223300970874
Selected raw model,7,0.4452545948331538,0.09951456310679611
Selected raw model,8,0.4726705419278978,0.10481927710843374
Selected raw model,9,0.5194438838721721,0.13480392156862744
Selected raw model,10,0.7543337957739512,0.3871359223300971
Final selected model,1,0.04242053245713575,0.041237113402061855
Final selected model,2,0.052667187358586415,0.07124681933842239
Final selected model,3,0.067115996696913,0.05137395459976105
Final selected model,4,0.07575383123699629,0.07311028500619579
Final selected model,5,0.08122241048448574,0.09622411693057248
Final selected model,6,0.08701091276411052,0.08653846153846154
Final selected model,7,0.09515962437521462,0.0945945945945946
Final selected model,8,0.10204927403055483,0.12081339712918661
Final selected model,9,0.12849561663828019,0.12192118226600986
Final selected model,10,0.4011763221245894,0.3863912515188335
