Feature,Coefficient,Absolute_Coefficient
job_student,0.8927708500639281,0.8927708500639281
job_retired,0.7021019716992547,0.7021019716992547
poutcome_success,0.6217787417980885,0.6217787417980885
default_no,0.36815556874886396,0.36815556874886396
poutcome_nonexistent,-0.3304121463775038,0.3304121463775038
default_unknown,-0.32293729678654925,0.32293729678654925
job_blue-collar,-0.2971506985283377,0.2971506985283377
job_services,-0.28291486101352076,0.28291486101352076
pdays,-0.2754750028529346,0.2754750028529346
poutcome_failure,-0.2705503246110487,0.2705503246110487
job_entrepreneur,-0.24399016743796564,0.24399016743796564
marital_divorced,-0.22504411304516447,0.22504411304516447
education_illiterate,0.21410606075146793,0.21410606075146793
job_management,-0.20505169128013012,0.20505169128013012
education_basic.9y,-0.20123834535379906,0.20123834535379906
job_technician,-0.18164741764842937,0.18164741764842937
marital_single,0.1742200177475437,0.1742200177475437
marital_unknown,0.16067478033469376,0.16067478033469376
job_housemaid,-0.14227361691512092,0.14227361691512092
previous,0.1085707645699299,0.1085707645699299
education_university.degree,0.10752878378623452,0.10752878378623452
education_basic.4y,-0.10326646791570329,0.10326646791570329
job_self-employed,-0.09746435705090388,0.09746435705090388
age,0.08953302347341545,0.08953302347341545
marital_married,-0.0890344142275398,0.0890344142275398
education_high.school,-0.08389607887124852,0.08389607887124852
education_unknown,0.08194439338632883,0.08194439338632883
job_admin.,-0.05801116507913157,0.05801116507913157
job_unemployed,-0.04794744324908745,0.04794744324908745
education_basic.6y,0.035973987871949484,0.035973987871949484
education_professional.course,-0.030336062845695965,0.030336062845695965
default_yes,-0.02440200115278352,0.02440200115278352
loan_no,0.01919476041679931,0.01919476041679931
job_unknown,-0.01760513275102133,0.01760513275102133
housing_yes,0.01576237668352688,0.01576237668352688
housing_no,0.004946253306545242,0.004946253306545242
loan_yes,0.001513869573270287,0.001513869573270287
housing_unknown,0.00010764081946307215,0.00010764081946307215
loan_unknown,0.00010764081946307215,0.00010764081946307215
