decile,ContactRecords,Subscribers,ConversionRate,AverageScore,CumulativeContacts,CumulativeSubscribers,ContactShare,CumulativeCapture,RandomCapture,Lift
1,824,318,0.3859223300970874,0.4008634699657631,824,318,0.10004856726566294,0.3426724137931034,0.10004856726566294,3.4250606796116503
2,824,104,0.1262135922330097,0.12820019771681845,1648,422,0.20009713453132588,0.4547413793103448,0.20009713453132588,1.1201456310679612
3,823,96,0.1166464155528554,0.10190921596344667,2471,518,0.30002428363283146,0.5581896551724138,0.30002428363283146,1.0352369380315918
4,824,77,0.09344660194174757,0.09511689001426311,3295,595,0.4000728508984944,0.6411637931034483,0.4000728508984944,0.8293385922330097
5,823,72,0.08748481166464156,0.08695041134809132,4118,667,0.5,0.71875,0.5,0.7764277035236938
6,824,79,0.09587378640776699,0.0812060611791987,4942,746,0.6000485672656629,0.8038793103448276,0.6000485672656629,0.850879854368932
7,823,59,0.07168894289185905,0.07566338425492973,5765,805,0.6999757163671685,0.8674568965517241,0.6999757163671685,0.6362393681652491
8,824,43,0.05218446601941747,0.06690352950355825,6589,848,0.8000242836328315,0.9137931034482759,0.8000242836328315,0.4631371359223301
9,823,45,0.054678007290400975,0.04978489989261303,7412,893,0.8999514327343371,0.9622844827586207,0.8999514327343371,0.48526731470230866
10,824,35,0.04247572815533981,0.03982256466701596,8236,928,1.0,1.0,1.0,0.3769720873786408
